Buy,Sell,Date
1388.5,1368.5,1/4/2011
1368,1348,1/5/2011
1368.5,1348.5,1/6/2011
1367,1347,1/7/2011
1368.25,1348.25,1/10/2011
1374,1354,1/11/2011
1378.75,1358.75,1/12/2011
1381.5,1361.5,1/13/2011
1367,1347,1/14/2011
1360.5,1340.5,1/17/2011
1369.5,1349.5,1/18/2011
1372,1352,1/19/2011
1345.5,1325.5,1/20/2011
1343.5,1323.5,1/21/2011
1343,1323,1/24/2011
1324,1304,1/25/2011
1328,1308,1/26/2011
1334.5,1314.5,1/27/2011
1319,1299,1/28/2011
1327,1307,1/31/2011
1331.5,1311.5,2/1/2011
1337,1317,2/2/2011
1328,1308,2/3/2011
1355,1335,2/4/2011
1347.5,1327.5,2/7/2011
1363.5,1343.5,2/8/2011
1365,1345,2/9/2011
1353.25,1333.25,2/10/2011
1364,1344,2/11/2011
1365,1345,2/14/2011
1372.75,1352.75,2/15/2011
1371.25,1351.25,2/16/2011
1379,1359,2/17/2011
1383.5,1363.5,2/18/2011
1403,1383,2/21/2011
1401,1381,2/22/2011
1409.25,1389.25,2/23/2011
1411.5,1391.5,2/24/2011
1402.5,1382.5,2/25/2011
1411,1391,2/28/2011
1420.75,1400.75,3/1/2011
1435.5,1415.5,3/2/2011
1421.5,1401.5,3/3/2011
1427,1407,3/4/2011
1437.5,1417.5,3/7/2011
1426.25,1406.25,3/8/2011
1431,1411,3/9/2011
1413.25,1393.25,3/10/2011
1411.5,1391.5,3/11/2011
1422.25,1402.25,3/14/2011
1400.5,1380.5,3/15/2011
1402,1382,3/16/2011
1403.75,1383.75,3/17/2011
1420,1400,3/18/2011
1432,1412,3/21/2011
1426,1406,3/22/2011
1439.5,1419.5,3/23/2011
1447,1427,3/24/2011
1436,1416,3/25/2011
1417,1397,3/28/2011
1417.5,1397.5,3/29/2011
1425.5,1405.5,3/30/2011
1439,1419,3/31/2011
1435.5,1415.5,4/4/2011
1433.5,1413.5,4/5/2011
1461.5,1441.5,4/6/2011
1459.5,1439.5,4/7/2011
1469.5,1449.5,4/8/2011
1468,1448,4/11/2011
1450.5,1430.5,4/12/2011
1457.5,1437.5,4/13/2011
1465.75,1445.75,4/14/2011
1476.75,1456.75,4/15/2011
1493,1473,4/18/2011
1490.5,1470.5,4/19/2011
1501,1481,4/20/2011
1504,1484,4/21/2011
1497.5,1477.5,4/26/2011
1511,1491,4/27/2011
1535.5,1515.5,4/28/2011
1540.25,1520.25,5/3/2011
1541,1521,5/4/2011
1511,1491,5/5/2011
1486.5,1466.5,5/6/2011
1502,1482,5/9/2011
1513.5,1493.5,5/10/2011
1508,1488,5/11/2011
1489.5,1469.5,5/12/2011
1505.75,1485.75,5/13/2011
1500.75,1480.75,5/16/2011
1478.5,1458.5,5/17/2011
1496.5,1476.5,5/18/2011
1493,1473,5/19/2011
1490.75,1470.75,5/20/2011
1510.5,1490.5,5/23/2011
1527,1507,5/24/2011
1526.25,1506.25,5/25/2011
1518.5,1498.5,5/26/2011
1533,1513,5/27/2011
1536.5,1516.5,5/31/2011
1533.75,1513.75,6/1/2011
1539.5,1519.5,6/2/2011
1540,1520,6/3/2011
1549,1529,6/6/2011
1545,1525,6/7/2011
1537.75,1517.75,6/8/2011
1537.75,1517.75,6/9/2011
1529.25,1509.25,6/10/2011
1526.25,1506.25,6/13/2011
1516,1496,6/14/2011
1529.75,1509.75,6/15/2011
1523.25,1503.25,6/16/2011
1537.5,1517.5,6/17/2011
1544,1524,6/20/2011
1544.75,1524.75,6/21/2011
1552.5,1532.5,6/22/2011
1523,1503,6/23/2011
1514.75,1494.75,6/24/2011
1498,1478,6/27/2011
1499,1479,6/28/2011
1504.25,1484.25,6/29/2011
1505.5,1485.5,6/30/2011
1483,1463,7/1/2011
1495,1475,7/4/2011
1510,1490,7/5/2011
1527.25,1507.25,7/6/2011
1527.5,1507.5,7/7/2011
1541.5,1521.5,7/8/2011
1555.5,1535.5,7/11/2011
1550.5,1530.5,7/12/2011
1579,1559,7/13/2011
1590.5,1570.5,7/14/2011
1587,1567,7/15/2011
1599,1579,7/18/2011
1601,1581,7/19/2011
1586,1566,7/20/2011
1601,1581,7/21/2011
1602,1582,7/22/2011
1613.5,1593.5,7/25/2011
1612.75,1592.75,7/26/2011
1625,1605,7/27/2011
1613.5,1593.5,7/28/2011
1628.5,1608.5,7/29/2011
1623,1603,8/1/2011
1637.75,1617.75,8/2/2011
1669.25,1649.25,8/3/2011
1679.5,1659.5,8/4/2011
1658.75,1638.75,8/5/2011
1693,1673,8/8/2011
1736,1716,8/9/2011
1772,1752,8/10/2011
1760,1740,8/11/2011
1736,1716,8/12/2011
1739,1719,8/15/2011
1782.5,1762.5,8/16/2011
1790,1770,8/17/2011
1824,1804,8/18/2011
1848,1828,8/19/2011
1877.5,1857.5,8/22/2011
1876,1856,8/23/2011
1770,1750,8/24/2011
1729,1709,8/25/2011
1788,1768,8/26/2011
1825,1805,8/30/2011
1813.5,1793.5,8/31/2011
1821,1801,9/1/2011
1875.25,1855.25,9/2/2011
1895,1875,9/5/2011
1895,1875,9/6/2011
1810,1790,9/7/2011
1855,1835,9/8/2011
1851,1831,9/9/2011
1834,1814,9/12/2011
1820,1800,9/13/2011
1818.5,1798.5,9/14/2011
1782,1762,9/15/2011
1794,1774,9/16/2011
1794,1774,9/19/2011
1799,1779,9/20/2011
1793,1773,9/21/2011
1722,1702,9/22/2011
1689,1669,9/23/2011
1598,1578,9/26/2011
1659,1639,9/27/2011
1643,1623,9/28/2011
1613,1593,9/29/2011
1620,1600,9/30/2011
1655.5,1635.5,10/3/2011
1638,1618,10/4/2011
1617,1597,10/5/2011
1635,1615,10/6/2011
1652,1632,10/7/2011
