Buy,Sell,Date
1121.5,1101.5,1/4/2010
1123.25,1103.25,1/5/2010
1130,1110,1/6/2010
1130.25,1110.25,1/7/2010
1126.75,1106.75,1/8/2010
1153,1133,1/11/2010
1151.25,1131.25,1/12/2010
1127.25,1107.25,1/13/2010
1138.25,1118.25,1/14/2010
1128,1108,1/15/2010
1134.5,1114.5,1/18/2010
1133,1113,1/19/2010
1120.25,1100.25,1/20/2010
1108.25,1088.25,1/21/2010
1084,1064,1/22/2010
1095.25,1075.25,1/25/2010
1093.25,1073.25,1/26/2010
1094.75,1074.75,1/27/2010
1088,1068,1/28/2010
1078.5,1058.5,1/29/2010
1086.5,1066.5,2/1/2010
1111,1091,2/2/2010
1115.25,1095.25,2/3/2010
1083.25,1063.25,2/4/2010
1058,1038,2/5/2010
1064,1044,2/8/2010
1071.25,1051.25,2/9/2010
1069.5,1049.5,2/10/2010
1076.25,1056.25,2/11/2010
1082,1062,2/12/2010
1098.25,1078.25,2/15/2010
1115.25,1095.25,2/16/2010
1119,1099,2/17/2010
1118,1098,2/18/2010
1112.75,1092.75,2/19/2010
1115.25,1095.25,2/22/2010
1107,1087,2/23/2010
1103,1083,2/24/2010
1094.5,1074.5,2/25/2010
1108.25,1088.25,2/26/2010
1114,1094,3/1/2010
1126.5,1106.5,3/2/2010
1136.5,1116.5,3/3/2010
1134.5,1114.5,3/4/2010
1135,1115,3/5/2010
1125.75,1105.75,3/8/2010
1115.75,1095.75,3/9/2010
1120.5,1100.5,3/10/2010
1104,1084,3/11/2010
1106.25,1086.25,3/12/2010
1104.25,1084.25,3/15/2010
1124.75,1104.75,3/16/2010
1121.75,1101.75,3/17/2010
1122.75,1102.75,3/18/2010
1105.5,1085.5,3/19/2010
1097.75,1077.75,3/22/2010
1101.5,1081.5,3/23/2010
1090.75,1070.75,3/24/2010
1093,1073,3/25/2010
1096.5,1076.5,3/26/2010
1107.5,1087.5,3/29/2010
1107,1087,3/30/2010
1115.5,1095.5,3/31/2010
1123.5,1103.5,4/1/2010
1132.75,1112.75,4/6/2010
1142,1122,4/7/2010
1148,1128,4/8/2010
1152.5,1132.5,4/9/2010
1158.75,1138.75,4/12/2010
1148.25,1128.25,4/13/2010
1153.75,1133.75,4/14/2010
1154.5,1134.5,4/15/2010
1151.5,1131.5,4/16/2010
1136.25,1116.25,4/19/2010
1144.75,1124.75,4/20/2010
1143,1123,4/21/2010
1133.75,1113.75,4/22/2010
1139.5,1119.5,4/23/2010
1154.5,1134.5,4/26/2010
1149.5,1129.5,4/27/2010
1161,1141,4/28/2010
1166.75,1146.75,4/29/2010
1179.25,1159.25,4/30/2010
1185,1165,5/4/2010
1165,1145,5/5/2010
1185.25,1165.25,5/6/2010
1202.25,1182.25,5/7/2010
1196.5,1176.5,5/10/2010
1222.5,1202.5,5/11/2010
1237.5,1217.5,5/12/2010
1237.5,1217.5,5/13/2010
1236.5,1216.5,5/14/2010
1236,1216,5/17/2010
1216.75,1196.75,5/18/2010
1195,1175,5/19/2010
1192,1172,5/20/2010
1179.75,1159.75,5/21/2010
1187,1167,5/24/2010
1198.25,1178.25,5/25/2010
1212,1192,5/26/2010
1211,1191,5/27/2010
1207.5,1187.5,5/28/2010
1227.75,1207.75,6/1/2010
1215,1195,6/2/2010
1215,1195,6/3/2010
1203.5,1183.5,6/4/2010
1215,1195,6/7/2010
1246,1226,6/8/2010
1233.5,1213.5,6/9/2010
1217.5,1197.5,6/10/2010
1220,1200,6/11/2010
1223.75,1203.75,6/14/2010
1225,1205,6/15/2010
1234.5,1214.5,6/16/2010
1245,1225,6/17/2010
1256,1236,6/18/2010
1254.5,1234.5,6/21/2010
1236,1216,6/22/2010
1226.5,1206.5,6/23/2010
1236.25,1216.25,6/24/2010
1254,1234,6/25/2010
1261,1241,6/28/2010
1234.5,1214.5,6/29/2010
1244,1224,6/30/2010
1234,1214,7/1/2010
1201.5,1181.5,7/2/2010
1208,1188,7/5/2010
1195,1175,7/6/2010
1193.25,1173.25,7/7/2010
1193.5,1173.5,7/8/2010
1208.75,1188.75,7/9/2010
1205.5,1185.5,7/12/2010
1216,1196,7/13/2010
1207,1187,7/14/2010
1208,1188,7/15/2010
1189.25,1169.25,7/16/2010
1181,1161,7/19/2010
1183,1163,7/20/2010
1191.5,1171.5,7/21/2010
1199.5,1179.5,7/22/2010
1190.5,1170.5,7/23/2010
1183.5,1163.5,7/26/2010
1168,1148,7/27/2010
1157,1137,7/28/2010
1162.5,1142.5,7/29/2010
1169,1149,7/30/2010
1188.5,1168.5,8/2/2010
1187.5,1167.5,8/3/2010
1199.5,1179.5,8/4/2010
1192.5,1172.5,8/5/2010
1207.75,1187.75,8/6/2010
1203,1183,8/9/2010
1192.5,1172.5,8/10/2010
1205.5,1185.5,8/11/2010
1213,1193,8/12/2010
1214.25,1194.25,8/13/2010
1223.5,1203.5,8/16/2010
1226,1206,8/17/2010
1218,1198,8/18/2010
1233.5,1213.5,8/19/2010
1223.5,1203.5,8/20/2010
1226,1206,8/23/2010
1222,1202,8/24/2010
1237.5,1217.5,8/25/2010
1237,1217,8/26/2010
1235,1215,8/27/2010
1246,1226,8/31/2010
1246.5,1226.5,9/1/2010
1248.5,1228.5,9/2/2010
1240.5,1220.5,9/3/2010
1249,1229,9/6/2010
1256.75,1236.75,9/7/2010
1255,1235,9/8/2010
1255,1235,9/9/2010
1246.5,1226.5,9/10/2010
1243.75,1223.75,9/13/2010
1265.5,1245.5,9/14/2010
1267,1247,9/15/2010
1272.5,1252.5,9/16/2010
1274,1254,9/17/2010
1279.25,1259.25,9/20/2010
1275,1255,9/21/2010
1293.5,1273.5,9/22/2010
1290.75,1270.75,9/23/2010
1297,1277,9/24/2010
1297,1277,9/27/2010
1294,1274,9/28/2010
1307.5,1287.5,9/29/2010
1307,1287,9/30/2010
1316.25,1296.25,10/1/2010
1313.5,1293.5,10/4/2010
1330.5,1310.5,10/5/2010
1346.5,1326.5,10/6/2010
1345,1325,10/7/2010
1341.5,1321.5,10/8/2010
1351.5,1331.5,10/11/2010
1348.5,1328.5,10/12/2010
1365.5,1345.5,10/13/2010
1373.25,1353.25,10/14/2010
1367.5,1347.5,10/15/2010
1367.25,1347.25,10/18/2010
1339,1319,10/19/2010
1339,1319,10/20/2010
1343.5,1323.5,10/21/2010
1322.5,1302.5,10/22/2010
1337.5,1317.5,10/25/2010
1329.5,1309.5,10/26/2010
1324.5,1304.5,10/27/2010
1333.5,1313.5,10/28/2010
1346.75,1326.75,10/29/2010
1354.5,1334.5,11/1/2010
1351,1331,11/2/2010
1345.5,1325.5,11/3/2010
1381,1361,11/4/2010
1395.5,1375.5,11/5/2010
1388.5,1368.5,11/8/2010
1421,1401,11/9/2010
1390.5,1370.5,11/10/2010
1398.5,1378.5,11/11/2010
1388.5,1368.5,11/12/2010
1368.5,1348.5,11/15/2010
1349,1329,11/16/2010
1337.5,1317.5,11/17/2010
1350.25,1330.25,11/18/2010
1342.5,1322.5,11/19/2010
